SMH					
Date	Open	High	Low	Close	Indicator			
31.10.2006	26.9622	28.4249	26.3043	26.8966	-3.57%
30.11.2006	26.952	28.2933	25.9313	27.3881	1.96%
29.12.2006	27.3089	27.943	26.3275	26.6763	-0.75%
31.01.2007	26.8348	28.0794	26.1134	26.8334	3.04%
28.02.2007	27.0476	28.4971	26.578	27.3607	1.81%
30.03.2007	26.9236	27.9436	26.3536	26.5444	-2.69%
30.04.2007	26.6796	29.978	26.3695	29.1252	9.24%
31.05.2007	29.1252	30.5538	28.6059	29.2683	2.62%
29.06.2007	29.4756	30.9762	28.3355	30.3383	7.01%
31.07.2007	30.4579	33.0173	30.0334	30.1292	3.63%
31.08.2007	30.1132	30.7082	27.9651	30.2994	3.96%
28.09.2007	30.4034	31.4126	29.4293	30.6289	5.85%
31.10.2007	30.7489	31.2847	27.7493	28.8075	-4.33%
30.11.2007	28.5995	28.7195	25.8507	26.9514	-6.93%
31.12.2007	27.0015	28.4372	26.6635	27.0807	-3.26%
31.01.2008	26.9555	27.0473	22.1417	23.503	-16.14%
29.02.2008	24.2711	25.248	22.7536	23.9008	-5.91%
31.03.2008	23.9259	25.3706	23.298	24.0556	-6.72%
30.04.2008	24.3739	26.2836	23.729	25.6234	0.66%
30.05.2008	25.6485	28.5987	25.5647	27.4491	5.37%
30.06.2008	27.5583	27.903	24.6443	24.9302	-8.76%
31.07.2008	24.5518	25.2413	22.7777	23.4861	-3.89%
29.08.2008	23.4357	26.0736	23.0486	24.0625	1.86%
30.09.2008	24.4424	24.6282	19.8019	20.8575	-13.31%
31.10.2008	20.6548	20.7477	14.3722	17.5428	-21.11%
28.11.2008	17.5318	17.8447	12.2689	14.1199	-29.19%
31.12.2008	13.7972	15.9876	12.8051	14.9676	-9.32%
30.01.2009	14.8911	16.4635	13.5737	14.4006	-15.42%
27.02.2009	14.2107	16.4206	13.3787	14.0839	-15.29%
31.03.2009	13.8188	16.9658	13.3741	16.0071	1.35%
30.04.2009	15.7331	18.0062	15.6219	17.5434	6.40%
29.05.2009	17.5262	18.4049	16.2551	18.1579	11.87%
30.06.2009	18.4419	19.1819	17.4993	18.4634	8.91%
31.07.2009	18.5753	22.0222	17.4563	21.4967	27.38%
31.08.2009	21.744	22.635	20.6098	22.0123	20.36%
30.09.2009	21.9517	22.8643	21.2771	22.1636	13.28%
30.10.2009	22.155	23.2882	20.8357	20.9483	2.81%
30.11.2009	20.9379	22.9161	20.3922	22.1253	11.03%
31.12.2009	22.386	24.6352	22.1166	24.2787	16.99%
29.01.2010	24.6526	24.9744	21.352	21.5522	-7.40%
26.02.2010	21.648	23.5907	21.2954	23.0456	6.18%
31.03.2010	23.2728	25.0269	23.0122	24.3625	7.12%
30.04.2010	24.5723	26.8101	24.2052	25.3639	9.77%
28.05.2010	25.5652	26.0551	22.3934	24.0774	-0.44%
30.06.2010	23.9457	25.3833	22.3404	22.7659	-5.71%
30.07.2010	22.7308	25.3833	22.1423	24.057	7.65%
31.08.2010	24.2766	24.6525	21.2772	21.3918	-9.78%
30.09.2010	21.7003	24.8262	21.6915	24.4295	9.56%
29.10.2010	24.6058	26.2804	23.8829	26.0421	5.29%
30.11.2010	26.2098	28.144	25.9009	27.4978	8.46%
31.12.2010	28.0053	29.4578	27.9876	28.8166	12.06%
31.01.2011	28.9317	31.3145	28.5951	30.5077	12.85%
28.02.2011	30.7293	32.5928	30.6285	31.8176	19.11%
31.03.2011	31.9421	32.719	28.7514	30.7764	6.48%
29.04.2011	31.0434	32.7517	29.8333	32.6449	12.50%
31.05.2011	32.636	32.9118	30.8698	31.9659	4.03%
30.06.2011	31.8234	31.8857	28.6348	30.3538	-1.58%
29.07.2011	30.3627	31.4938	28.3662	28.5802	-6.00%
31.08.2011	28.9367	29.0437	24.4081	26.1163	-11.72%
30.09.2011	26.2417	27.9792	24.4325	25.4714	-7.39%
31.10.2011	25.4714	31.0392	24.5446	30.0911	9.48%
30.11.2011	29.3801	31.0256	26.8877	29.2091	-4.83%
30.12.2011	29.0281	29.99	27.3234	28.9805	-2.03%
31.01.2012	29.5615	32.7233	29.0662	31.9233	10.67%
29.02.2012	32.1995	33.7995	32.19	32.8566	10.55%
30.03.2012	32.9519	34.4471	31.4186	34.0947	13.80%
30.04.2012	33.9804	34.3138	31.5043	32.9424	0.91%
31.05.2012	32.8757	33.3423	29.1234	29.59	-6.35%
29.06.2012	28.9519	31.2757	28.1615	30.6948	4.46%
31.07.2012	30.8757	31.0757	28.1519	30.7043	-1.25%
31.08.2012	30.9329	32.3424	30.2567	31.3995	0.03%
28.09.2012	31.3614	31.9709	29.39	30.1329	-6.56%
31.10.2012	30.1519	30.7995	28.8948	29.6091	-4.53%
30.11.2012	29.8281	30.8852	28.571	30.5138	3.08%
31.12.2012	30.7233	31.9328	30.2567	31.4583	2.89%
31.01.2013	32.2562	33.7547	31.5556	33.3752	6.96%
28.02.2013	33.7839	35.0196	33.3947	34.1731	4.54%
28.03.2013	34.0952	35.2045	33.5893	34.572	5.69%
30.04.2013	34.6401	36.0608	32.626	36.0511	10.10%
31.05.2013	35.9829	37.9485	35.8856	37.2576	9.60%
28.06.2013	37.462	38.2209	35.1072	36.6738	4.48%
31.07.2013	36.7127	38.6491	36.3819	37.5203	5.68%
30.08.2013	37.5787	38.1042	35.691	36.1386	-0.54%
30.09.2013	36.6349	39.6124	36.3235	38.8048	9.00%
31.10.2013	38.941	40.3227	38.0458	40.06	5.86%
29.11.2013	40.1573	40.2838	38.9994	40.0697	2.53%
31.12.2013	40.167	42.0619	39.3886	41.9433	7.91%
31.01.2014	41.5875	42.6353	40.4309	40.6978	0.84%
28.02.2014	40.5396	43.3668	39.4423	43.1493	10.48%
31.03.2014	42.8033	45.2154	42.4771	45.0868	8.39%
30.04.2014	45.0868	46.0556	43.1889	44.1576	2.04%
30.05.2014	44.0884	45.8876	43.3965	45.8085	7.27%
30.06.2014	46.283	48.9915	45.7195	48.9223	10.08%
31.07.2014	49.4166	50.5831	47.914	48.2007	5.16%
29.08.2014	48.092	51.1762	47.3901	51.0872	10.12%
30.09.2014	51.3146	52.0758	50.0394	50.504	3.24%
31.10.2014	50.3359	50.9587	43.9204	50.8302	5.47%
28.11.2014	50.8599	55.1105	50.5633	54.9128	11.98%
31.12.2014	54.8436	55.9903	52.3229	54.62	3.53%
30.01.2015	54.66	55.54	52.08	52.73	0.83%
27.02.2015	52.74	57.51	51.84	56.97	9.20%
31.03.2015	57.45	58.47	52.62	55.3	1.21%
30.04.2015	55.35	57.23	54.1	55.46	3.23%
29.05.2015	55.96	59.99	55.26	59.81	8.20%
19.06.2015	59.97	60.13	56.05	57.69	-0.49%
