IBB					
Date	Open	High	Low	Close	Indicator
30.09.2004	66.9395	71.2972	66.6542	68.7888	-0.98%
29.10.2004	69.3495	71.0021	63.4474	66.9592	-5.93%
30.11.2004	67.0871	71.3267	65.6607	69.3495	0.13%
31.12.2004	69.4577	74.9467	69.4577	74.1696	4.77%
31.01.2005	74.6122	74.7008	68.3068	70.0775	-2.01%
28.02.2005	70.1857	71.9268	66.487	67.1854	-2.46%
31.03.2005	67.0379	68.2183	61.9719	62.5129	-7.68%
29.04.2005	63.2507	65.6706	61.2833	62.4342	-2.34%
31.05.2005	62.5129	66.7034	62.5129	65.6115	1.60%
30.06.2005	65.8083	67.8248	63.231	66.792	-2.12%
29.07.2005	66.9887	76.6288	66.428	74.7598	10.18%
31.08.2005	74.9368	76.7271	72.2514	75.0155	4.11%
30.09.2005	75.3008	78.1043	74.2679	75.7435	7.70%
31.10.2005	75.8418	77.76	69.1331	73.0285	3.27%
30.11.2005	72.6449	79.1372	71.8186	75.4582	7.22%
30.12.2005	75.8418	78.1643	73.5892	75.9805	5.05%
31.01.2006	76.9544	80.5055	75.3608	79.0004	4.54%
28.02.2006	81.4498	84.3026	76.8953	82.7385	6.59%
31.03.2006	82.4827	83.6533	79.4825	81.0367	0.96%
28.04.2006	80.5055	80.8203	74.6033	76.3838	-2.30%
31.05.2006	76.3838	76.9248	68.1405	72.0064	-5.35%
30.06.2006	72.6458	74.5246	67.6585	71.5145	-2.41%
31.07.2006	71.9277	72.0162	66.0944	70.3243	-4.77%
31.08.2006	69.8619	73.8557	67.5011	72.5376	-2.01%
29.09.2006	72.6359	73.3049	69.8423	72.5769	-3.44%
31.10.2006	72.3507	78.6955	71.1211	78.2627	6.04%
30.11.2006	78.5971	80.8104	76.433	78.7742	3.57%
29.12.2006	78.9414	80.1809	76.4045	76.493	0.39%
31.01.2007	77.2209	80.418	75.1256	78.5391	5.68%
28.02.2007	79.1884	79.7983	75.3322	75.9716	-0.60%
30.03.2007	75.2535	75.2535	71.1908	74.5453	-0.35%
30.04.2007	74.6928	82.3362	74.2698	80.5852	6.39%
31.05.2007	80.7131	82.2673	77.7128	80.054	0.10%
29.06.2007	79.9753	80.6541	75.7454	76.9332	-2.41%
31.07.2007	77.4158	79.5233	75.0719	75.131	-3.01%
31.08.2007	75.0818	79.149	73.6637	77.8491	3.24%
28.09.2007	77.9082	82.7436	77.6718	81.7391	6.55%
31.10.2007	82.1133	87.6479	82.0148	85.2942	4.85%
30.11.2007	86.0427	86.0427	77.5733	82.9799	-0.59%
31.12.2007	82.1724	84.467	78.8339	79.9467	-1.13%
31.01.2008	79.7695	82.5269	73.7227	77.012	-1.61%
29.02.2008	77.0317	78.8634	73.1712	75.0818	-2.86%
31.03.2008	74.5894	75.8992	68.5328	74.6288	-3.30%
30.04.2008	75.0522	78.2922	74.9734	76.4408	-1.84%
30.05.2008	76.7461	78.8634	75.1212	78.2922	-0.27%
30.06.2008	78.1741	79.7596	74.4712	75.8472	-3.79%
31.07.2008	75.4524	88.699	75.2846	87.7514	15.11%
29.08.2008	87.5836	89.696	83.7439	84.7902	2.06%
30.09.2008	84.8494	86.5373	77.3377	80.3088	-0.99%
31.10.2008	80.4865	80.4865	58.0699	70.4874	-10.75%
