IEF					
Date	Open	High	Low	Close	Indicator
28.04.2006	61.3	61.5948	60.733	61.0883	-0.69%
31.05.2006	60.9092	61.4631	60.5526	61.023	-0.59%
30.06.2006	60.9728	61.7952	60.6758	61.1632	-0.73%
31.07.2006	61.18	62.1891	60.836	62.1891	1.01%
31.08.2006	62.1269	63.3549	62.0578	63.2858	1.69%
29.09.2006	63.2873	64.3813	62.9561	64.05	2.20%
31.10.2006	64.0315	64.449	63.2581	64.3949	2.16%
30.11.2006	64.4555	65.2549	63.8811	65.2394	3.18%
29.12.2006	65.2192	65.4996	64.2978	64.4072	0.92%
31.01.2007	64.6181	64.8291	63.79	64.1494	0.78%
28.02.2007	64.3149	65.9304	64.0717	65.4677	2.52%
30.03.2007	65.7549	66.0381	65.267	65.3772	0.60%
30.04.2007	65.5209	65.7974	64.9917	65.7737	1.12%
31.05.2007	65.8403	65.9117	64.7303	64.8571	-1.12%
29.06.2007	64.729	64.7449	63.304	64.5538	-0.24%
31.07.2007	64.5403	66.0267	63.877	66.0107	2.47%
31.08.2007	65.9241	67.7292	65.4748	67.5046	2.55%
28.09.2007	67.532	68.6516	66.8634	67.5642	1.17%
31.10.2007	67.6127	68.9952	66.974	68.2918	1.99%
30.11.2007	68.4273	71.5996	68.4273	71.056	5.88%
31.12.2007	71.6788	71.6788	69.6761	71.0919	3.41%
31.01.2008	71.0756	74.9892	71.0347	73.4777	6.01%
29.02.2008	73.7982	74.4293	72.1999	74.3883	4.23%
31.03.2008	74.2321	76.123	73.525	75.3831	4.75%
30.04.2008	75.5159	75.5159	72.8266	73.5608	0.96%
30.05.2008	73.9001	73.958	71.7981	72.2533	-0.62%
30.06.2008	72.666	73.2473	71.2542	73.0812	1.70%
31.07.2008	73.3329	74.2411	72.233	73.6078	0.54%
29.08.2008	73.352	74.9573	72.9088	74.7316	1.17%
30.09.2008	74.568	77.7138	74.1989	74.6267	-0.43%
31.10.2008	75.035	76.87	72.8885	73.9828	-0.38%
28.11.2008	74.0926	80.8513	73.8307	79.7192	8.61%
31.12.2008	80.5694	85.0281	80.2219	83.8297	8.34%
30.01.2009	84.0424	84.4168	80.3839	80.5711	0.56%
27.02.2009	80.8834	82.0949	79.45	79.979	1.85%
31.03.2009	80.3879	83.5617	79.9345	82.6292	5.78%
30.04.2009	82.8489	82.9775	80.0349	80.3609	1.04%
29.05.2009	80.163	80.7653	77.1943	78.6916	-1.81%
30.06.2009	77.8993	78.6156	75.6898	78.2531	-2.59%
31.07.2009	77.9346	79.9252	77.3548	78.904	-0.14%
31.08.2009	78.4387	79.5931	76.7896	79.5063	0.31%
30.09.2009	79.3209	80.5047	78.9118	80.4002	-0.15%
30.10.2009	80.6909	81.3717	79.1024	80.2894	-0.12%
30.11.2009	80.3422	81.9617	79.418	81.9089	2.71%
31.12.2009	81.6954	81.7395	78.0287	78.3027	-2.91%
29.01.2010	78.4264	80.2558	78.3292	80.1586	2.11%
26.02.2010	80.0344	80.6906	79.1477	80.4246	0.61%
31.03.2010	80.5171	80.7127	78.97	79.5746	-1.05%
30.04.2010	79.4542	80.8987	78.5715	80.8898	1.35%
28.05.2010	80.6421	84.2552	80.5884	83.2624	2.51%
30.06.2010	83.5494	85.8005	82.5809	85.8005	5.22%
30.07.2010	85.8077	86.6889	84.8186	86.581	3.28%
31.08.2010	86.3583	89.8473	86.2591	89.4866	5.99%
30.09.2010	89.1495	89.9268	87.2877	89.4839	4.15%
29.10.2010	89.2421	90.9361	88.5536	89.4776	3.53%
30.11.2010	89.7545	90.7625	87.7205	88.6739	1.57%
31.12.2010	87.7627	88.0085	83.8029	85.6316	-2.35%
31.01.2011	85.0566	86.1884	84.4724	85.6133	-0.39%
28.02.2011	85.3251	85.5447	83.3304	85.4349	-1.65%
31.03.2011	85.0461	87.3939	84.4866	85.3028	-1.66%
29.04.2011	85.0987	86.8827	84.5469	86.8735	0.26%
31.05.2011	86.7914	89.0871	86.7361	89.0502	1.81%
30.06.2011	89.3774	90.7546	88.2867	88.601	0.82%
29.07.2011	88.7224	91.5297	88.2499	91.4092	4.37%
31.08.2011	91.3052	97.2585	91.2959	95.6611	7.09%
30.09.2011	95.9208	99.281	95.4088	97.801	6.38%
31.10.2011	98.0071	99.1077	94.5375	96.5428	2.85%
30.11.2011	97.411	98.5325	96.8036	97.1026	3.40%
30.12.2011	96.9153	99.4736	96.7187	99.0327	5.25%
31.01.2012	98.4042	99.8957	97.5599	99.8863	3.67%
29.02.2012	99.6523	99.7369	98.0829	98.7878	0.36%
30.03.2012	98.3454	99.2302	95.7945	97.2158	-1.26%
30.04.2012	97.6184	99.7682	96.6567	99.6551	2.75%
31.05.2012	99.7854	102.8358	99.3699	102.5147	3.77%
29.06.2012	103.1589	103.4521	101.6928	102.09	0.75%
31.07.2012	102.3079	104.0983	102.2606	103.5205	2.15%
31.08.2012	103.2567	103.6741	100.9609	103.399	1.48%
28.09.2012	103.172	103.3905	101.1009	103.039	1.76%
31.10.2012	103.1255	103.2682	101.3942	102.6309	0.73%
30.11.2012	102.5309	104.0168	102.1594	103.6358	1.02%
31.12.2012	103.4231	104.1003	102.0497	102.6612	-0.44%
31.01.2013	102.1933	102.5275	100.9708	101.3337	-1.57%
28.02.2013	101.764	102.6917	100.9511	102.4813	0.46%
28.03.2013	102.6316	103.0816	101.0805	102.7752	0.11%
30.04.2013	102.7992	104.64	102.7992	104.3428	1.57%
31.05.2013	104.5588	104.7988	100.6326	101.103	-2.88%
28.06.2013	100.9126	103.4215	97.3271	98.5287	-3.04%
31.07.2013	98.3834	99.009	96.6893	98.1812	-1.27%
30.08.2013	97.8256	98.5774	95.7436	96.7846	-2.80%
30.09.2013	96.3704	98.61	95.183	98.5714	-0.13%
31.10.2013	98.468	99.9665	97.6462	99.3381	-1.08%
29.11.2013	99.1357	99.1744	97.7607	98.4676	-1.45%
31.12.2013	98.2484	98.3842	96.3507	96.409	-2.11%
31.01.2014	96.5547	99.3622	96.545	99.3622	2.44%
28.02.2014	99.2211	99.9121	98.5594	99.7174	1.25%
31.03.2014	100.006	100.2301	98.5926	99.158	-0.18%
30.04.2014	99.0212	100.3298	98.4939	99.9099	0.70%
30.05.2014	99.9725	102.2717	99.7964	101.7336	2.32%
30.06.2014	101.4641	101.6601	100.3175	101.5131	1.62%
31.07.2014	101.2696	102.1631	100.3466	101.2892	0.50%
29.08.2014	101.5903	103.5184	101.3738	103.1938	2.42%
30.09.2014	102.7809	102.7907	100.9578	102.1108	0.29%
31.10.2014	102.5145	107.4902	102.2875	103.6795	2.28%
28.11.2014	103.542	105.0254	103.2948	105.0155	1.93%
31.12.2014	105.3127	106.2736	103.9457	105.1515	1.28%
30.01.2015	105.2507	109.7151	105.2209	109.6754	5.63%
27.02.2015	109.26	109.7072	105.5832	106.9645	-0.43%
31.03.2015	106.8749	108.328	104.9441	107.8802	2.45%
30.04.2015	108.2141	108.7824	106.6291	107.1973	0.71%
29.05.2015	106.8808	107.0206	105.2334	106.751	0.27%
19.06.2015	106.73	106.81	103.76	105.75	-0.44%
